Recorded data from MZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
$ˇˇˇãC;¬ï¿ã–ãûÿˇˇˇ∂4#¬ãû∞ˇˇˇàãû∞ˇˇˇ∂Cãû$ˇˇˇàCuãûƒ˛ˇˇçPâÛË5ÚˇˇÉƒ∏;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Timestamp;Temperatyre1;Temperatyre2;Temperatyre3;Temperatyre4;Temperatyre5;Temperatyre6;Temperatyre7;Temperatyre8;Temperatyre9;Temperatyre10;Temperatyre11;Temperatyre12;Temperatyre13;Temperatyre14;Temperatyre15;Temperatyre16;Temperatyre17;Temperatyre18;Temperatyre19;Temperatyre20;Temperatyre21;Temperatyre22;Temperatyre23;Temperatyre24;Temperatyre25;Temperatyre26;Temperatyre27;Temperatyre28;Temperatyre29;Temperatyre30;Temperatyre31;Temperatyre32;Temperatyre33
2018.09.19_13:00:00;30,5;-24,96;-24,97;-25;-24,98;-24,99;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,96;-25,01;0;-25,04;-25;-25,02;0
2018.09.19_13:00:01;30,5;-25,03;-24,98;-25;-24,99;-25;-24,95;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,98;0;-25,01;-25;-25;1
2018.09.19_13:00:02;30,5;-24,99;-24,98;-25,02;-25,02;-25;-24,96;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,98;0;-25,02;-25;-25,02;0
2018.09.19_13:00:03;30,5;-25;-25,01;-25;-25;-24,98;-24,98;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,01;-25;-25;0
2018.09.19_13:00:04;30,5;-25;-25,02;-25;-25,02;-24,99;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-25,02;0;0;0;0;0;0;0;-24,99;-24,98;0;-25,01;-24,99;-24,99;1
2018.09.19_13:00:05;30,5;-25,02;-24,99;-25,02;-25;-25;-25,03;-24,98;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,01;-24,99;-24,99;1
2018.09.19_13:00:06;30,5;-25;-24,98;-25,02;-25;-24,99;-24,99;-25;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-25,02;-24,99;0;-25,01;-25;-25;1
2018.09.19_13:00:07;30,5;-25,02;-25,02;-25;-24,99;-25;-25;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-25;-24,99;1
2018.09.19_13:00:08;30,5;-25;-25,01;-25,03;-25,02;-25,02;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,97;0;-25,01;-24,96;-25;1
2018.09.19_13:00:09;30,5;-25;-25,01;-25;-25;-25,02;-24,96;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,01;-25;-25;1
2018.09.19_13:00:10;30,5;-24,99;-25,01;-25;-25,02;-25,02;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,97;-24,96;0;-25,01;-25;-25;1
2018.09.19_13:00:11;30,5;-25;-25,01;-25;-25;-24,99;-24,98;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,02;-24,99;-25,02;1
2018.09.19_13:00:12;30,5;-25;-25,01;-25;-25;-25;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,02;-25;-24,99;1
2018.09.19_13:00:13;30,5;-24,99;-24,99;-25;-24,98;-24,99;-25,02;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-25,02;-25,01;0;-24,99;-25;-24,99;1
2018.09.19_13:00:14;30,5;-25,02;-25,01;-24,99;-24,99;-24,99;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-24,98;0;-25,01;-24,99;-25;1
2018.09.19_13:00:15;30,5;-24,98;-24,99;-25,02;-24,99;-25,02;-24,98;-24,98;0;0;0;0;0;0;0;0;0;0;-25,04;0;0;0;0;0;0;0;-25,01;-24,99;0;-25,02;-24,99;-25;1
2018.09.19_13:00:16;30,5;-24,99;-24,99;-24,99;-24,98;-25,02;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-25,02;-24,98;0;-25,01;-25;-25;1
2018.09.19_13:00:17;30,5;-25,03;-24,99;-25;-25,02;-24,99;-25;-24,98;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,97;-25,02;0;-25,01;-24,98;-25;1
2018.09.19_13:00:18;30,5;-24,99;-25,01;-25,03;-25,02;-25,02;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-25,01;0;-25,04;-24,98;-24,98;1
2018.09.19_13:00:19;30,5;-25,02;-25,01;-25;-25;-25;-24,99;-24,96;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,97;-25,01;0;-25,01;-25;-24,99;1
2018.09.19_13:00:20;30,5;-25;-25,01;-25;-24,99;-24,96;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,98;-25,01;0;-25,02;-25;-25,02;1
2018.09.19_13:00:21;30,5;-25;-24,98;-25,02;-25,02;-24,99;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-25,01;-24,98;0;-25,02;-24,99;-25,03;1
2018.09.19_13:00:22;30,5;-24,99;-24,99;-24,98;-25;-24,98;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-25,02;0;0;0;0;0;0;0;-25,02;-24,96;0;-24,99;-25,02;-24,99;1
2018.09.19_13:00:23;30,5;-25;-25,02;-24,99;-24,99;-25;-25,02;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-24,99;0;-24,98;-24,98;-25,04;1
2018.09.19_13:00:24;30,5;-25,03;-25,01;-25;-25,02;-25;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-25,01;0;-25,02;-24,98;-24,96;1
2018.09.19_13:00:25;30,5;-25;-24,99;-24,96;-25;-25;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,98;0;-24,99;-25;-24,98;1
2018.09.19_13:00:26;30,5;-24,96;-24,99;-25,02;-25;-24,98;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-24,97;0;-24,98;-25;-24,99;1
2018.09.19_13:00:27;30,5;-25;-25,01;-25,02;-25,02;-24,99;-24,99;-24,98;0;0;0;0;0;0;0;0;0;0;-25,02;0;0;0;0;0;0;0;-24,98;-24,96;0;-24,99;-25;-25;1
2018.09.19_13:00:28;30,5;-25,02;-25,02;-24,99;-24,99;-24,98;-25;-24,99;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-25,01;-24,98;0;-25,02;-25,02;-24,98;1
2018.09.19_13:00:29;30,5;-24,96;-24,97;-25;-25,02;-25,02;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-25,01;-24,98;0;-25,01;-24,99;-25,02;1
2018.09.19_13:00:30;30,5;-25;-25,02;-24,99;-24,99;-24,99;-25,02;-24,98;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,99;0;-24,98;-24,96;-25,03;1
2018.09.19_13:00:31;30,5;-24,99;-24,99;-25;-24,99;-25,03;-25;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,96;-25,02;0;-25,01;-25;-25,02;1
2018.09.19_13:00:32;30,5;-25,02;-25,02;-25;-25;-24,99;-24,99;-24,98;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,98;-24,98;0;-24,99;-24,99;-24,99;1
2018.09.19_13:00:33;30,5;-25;-25,04;-24,99;-25;-25;-24,98;-25,03;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-25,01;-25,02;0;-25,01;-24,99;-25,02;1
2018.09.19_13:00:34;30,5;-25,02;-25,01;-24,99;-25,02;-24,99;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-24,98;0;-24,99;-24,99;-25,02;1
2018.09.19_13:00:35;30,5;-25;-24,98;-24,98;-24,99;-24,99;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,96;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-25,02;-25;0
2018.09.19_13:00:36;30,5;-25,02;-25,01;-25;-25;-24,99;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,98;-24,98;0;-25,01;-24,99;-24,99;0
2018.09.19_13:00:37;30,5;-25;-25,02;-24,99;-25;-24,99;-25;-24,99;0;0;0;0;0;0;0;0;0;0;-24,94;0;0;0;0;0;0;0;-24,98;-24,98;0;-25,04;-24,99;-24,98;0
2018.09.19_13:00:38;30,5;-25;-25,01;-24,98;-25;-25;-24,96;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,01;-25;-24,99;0
2018.09.19_13:00:39;30,5;-24,99;-24,97;-25;-25,02;-24,99;-24,98;-25,03;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,98;0;-25,01;-24,99;-24,99;0
2018.09.19_13:00:40;30,5;-25;-25,01;-24,99;-25,02;-25;-24,98;-25,02;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,97;-24,97;0;-25,02;-25;-25,03;0
2018.09.19_13:00:41;30,5;-25;-25,01;-25;-24,99;-24,99;-25;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-24,98;0;-24,99;-25,04;-25,02;0
2018.09.19_13:00:42;30,5;-24,99;-25,01;-24,98;-25;-25;-24,98;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,98;0;-25,02;-25;-25;0
2018.09.19_13:00:43;30,5;-24,98;-24,98;-24,99;-24,99;-25,04;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,04;-25,02;-25;0
2018.09.19_13:00:44;30,5;-25;-25,05;-25,02;-25;-24,99;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-25,04;-25,01;0;-25,01;-25,02;-24,99;0
2018.09.19_13:00:45;30,5;-24,99;-25,02;-25;-25,02;-24,99;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-25,02;-24,99;0;-25,04;-24,98;-25;0
2018.09.19_13:00:46;30,5;-25,02;-25,01;-24,99;-25,02;-24,98;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-24,99;-25;0
2018.09.19_13:00:47;30,5;-25;-25,01;-24,99;-24,99;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-24,96;-25;0
2018.09.19_13:00:48;30,5;-24,99;-24,97;-24,99;-25;-24,99;-24,99;-25;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,98;-25,01;0;-25,02;-25,02;-24,98;0
2018.09.19_13:00:49;30,5;-25,02;-25,01;-25,02;-25;-24,99;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,99;-25,01;0;-25,02;-24,99;-25;0
2018.09.19_13:00:50;30,5;-24,98;-24,99;-25,02;-25,02;-24,99;-24,99;-24,98;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,96;-24,99;0;-25,02;-25;-24,99;0
2018.09.19_13:00:51;30,5;-24,98;-24,99;-25;-24,99;-25;-24,98;-24,98;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,99;0;-24,99;-24,98;-24,99;0
2018.09.19_13:00:52;30,5;-24,99;-24,99;-25,03;-25,02;-24,99;-24,99;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-24,98;0;-25,04;-24,99;-24,99;0
2018.09.19_13:00:53;30,5;-25;-25,01;-25,03;-25,03;-24,99;-24,99;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-25,02;0;-25,02;-24,99;-25,03;0
2018.09.19_13:00:54;30,5;-24,98;-25,01;-24,99;-25;-25;-25,02;-25,03;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,99;-24,98;0;-25,02;-25,02;-24,99;0
2018.09.19_13:00:55;30,5;-24,98;-24,99;-25,02;-24,98;-24,99;-24,99;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,01;-25;-25,02;0
2018.09.19_13:00:56;30,5;-25,02;-24,98;-25,02;-25,02;-24,98;-25;-24,99;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,97;-24,98;0;-25,01;-25;-24,99;0
2018.09.19_13:00:57;30,5;-25,02;-25,01;-24,99;-25,02;-24,99;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,97;-24,98;0;-24,98;-25;-25;0
2018.09.19_13:00:58;30,5;-25;-24,98;-25;-25;-25;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,98;0;-25,02;-25,02;-24,98;0
2018.09.19_13:00:59;30,5;-25;-24,99;-25;-25;-24,99;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-25,02;0;0;0;0;0;0;0;-24,97;-25,01;0;-25,01;-25,02;-24,99;0
2018.09.19_13:01:00;30,5;-25;-24,99;-24,98;-24,99;-24,99;-25,02;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-25,01;-24,97;0;-25,01;-24,99;-24,98;0
2018.09.19_13:01:01;30,5;-24,99;-24,99;-25,02;-25;-25;-24,98;-24,98;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,02;-25;-25;0
2018.09.19_13:01:02;30,5;-25,03;-25,01;-25;-25,02;-24,98;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,02;-25;-24,99;0
2018.09.19_13:01:03;30,5;-24,98;-25,01;-24,99;-25,02;-25,02;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,96;-25,01;0;-25,04;-25,02;-25;0
2018.09.19_13:01:04;30,5;-24,99;-24,99;-25,03;-25;-25;-24,99;-24,96;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-25,01;0;-25,01;-24,96;-25;0
2018.09.19_13:01:05;30,5;-24,96;-25,02;-25;-25;-25;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,97;-24,98;0;-24,98;-25;-24,99;0
2018.09.19_13:01:06;30,5;-25,04;-24,99;-25,02;-24,99;-24,99;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-25,01;0;-25,04;-25,02;-25,02;0
2018.09.19_13:01:07;30,5;-24,99;-24,99;-24,98;-25;-24,99;-24,99;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-24,99;0;-24,99;-25;-25,02;0
2018.09.19_13:01:08;30,5;-25,02;-24,99;-25;-25;-25;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-25,02;0;-24,98;-24,99;-25;0
2018.09.19_13:01:09;30,5;-25;-25,01;-25;-24,98;-25,04;-24,99;-25;0;0;0;0;0;0;0;0;0;0;-24,96;0;0;0;0;0;0;0;-25,01;-25,02;0;-24,99;-25;-25,02;0
2018.09.19_13:01:10;30,5;-24,99;-24,99;-24,99;-25,02;-24,96;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,97;0;-25,01;-24,98;-24,99;0
2018.09.19_13:01:11;30,5;-25;-25,04;-24,98;-24,99;-25;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,99;-24,99;0;-24,99;-24,98;-25;0
2018.09.19_13:01:12;30,5;-24,98;-24,99;-24,99;-25;-24,99;-24,96;-25;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,02;-24,99;-25;0
2018.09.19_13:01:13;30,5;-25,02;-24,99;-24,99;-25,02;-25,02;-24,96;-25;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,98;-24,97;0;-24,99;-25,02;-25,02;0
2018.09.19_13:01:14;30,5;-24,99;-25,02;-24,99;-25;-25,02;-24,99;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,02;-24,98;-25;0
2018.09.19_13:01:15;30,5;-25;-25,01;-25,02;-25,02;-24,99;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,97;-25,02;0;-25,01;-24,99;-25;0
2018.09.19_13:01:16;30,5;-24,99;-25,02;-25;-25;-25,02;-24,98;-25,02;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-25,01;-24,99;0;-24,99;-25;-25;0
2018.09.19_13:01:17;30,5;-24,99;-25,01;-24,99;-24,99;-24,95;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-25;-24,99;0
2018.09.19_13:01:18;30,5;-24,98;-24,99;-25,03;-25,02;-24,99;-24,98;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-25,01;-24,98;0;-24,99;-24,99;-24,99;0
2018.09.19_13:01:19;30,5;-25,02;-25,02;-25,03;-24,98;-24,99;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,99;-25,01;0;-25,01;-24,99;-24,99;0
2018.09.19_13:01:20;30,5;-24,96;-24,97;-24,99;-24,99;-25;-25;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-25;-25;0
2018.09.19_13:01:21;30,5;-24,98;-25,02;-24,99;-25;-24,99;-25,03;-25;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,99;-25,01;0;-25,01;-25,02;-25,02;0
2018.09.19_13:01:22;30,5;-25,02;-24,98;-24,98;-24,99;-25;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-24,96;0;0;0;0;0;0;0;-24,99;-24,98;0;-24,97;-24,99;-24,99;0
2018.09.19_13:01:23;30,5;-24,98;-24,99;-25,02;-25;-25,03;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-25,01;0;-25,01;-24,99;-24,99;0
2018.09.19_13:01:24;30,5;-24,99;-25,02;-24,99;-24,99;-25;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,98;-24,99;0;-24,99;-25;-24,99;0
2018.09.19_13:01:25;30,5;-25;-24,99;-24,96;-25,03;-25;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-25,01;-24,98;0;-24,99;-24,99;-24,98;0
2018.09.19_13:01:26;30,5;-24,98;-25,02;-25,03;-24,99;-25,03;-25,02;-25,02;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,01;-24,98;-24,99;0
2018.09.19_13:01:27;30,5;-25;-25,02;-25;-24,99;-24,99;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-25,01;0;-25,02;-25;-25,02;0
